"FIPS","date_partial_school_closed","date_all_school_closed","earliest_date_school_closed"
48351,"NA","2020-03-17",2020-03-17
48353,"2020-03-09","2020-03-15",2020-03-09
48355,"2020-03-09","2020-03-23",2020-03-09
48357,"NA","NA",NA
48359,"NA","2020-03-16",2020-03-16
48361,"NA","2020-03-16",2020-03-16
48363,"NA","NA",NA
48365,"NA","2020-03-16",2020-03-16
48367,"NA","2020-03-16",2020-03-16
48369,"NA","2020-03-16",2020-03-16
48371,"NA","2020-03-09",2020-03-09
48373,"NA","2020-03-09",2020-03-09
48375,"NA","2020-03-16",2020-03-16
48377,"NA","NA",NA
48379,"NA","2020-03-09",2020-03-09
48381,"NA","2020-03-16",2020-03-16
48383,"NA","2020-03-09",2020-03-09
48385,"NA","2020-03-09",2020-03-09
48387,"NA","2020-03-09",2020-03-09
48389,"NA","2020-03-09",2020-03-09
48391,"NA","2020-03-16",2020-03-16
48393,"NA","2020-03-16",2020-03-16
48395,"NA","2020-03-09",2020-03-09
48397,"NA","2020-03-09",2020-03-09
48399,"NA","2020-03-09",2020-03-09
48401,"2020-03-09","2020-03-16",2020-03-09
48403,"NA","2020-03-18",2020-03-18
48405,"NA","2020-03-09",2020-03-09
48407,"NA","2020-03-16",2020-03-16
48409,"2020-03-09","2020-03-16",2020-03-09
48411,"2020-03-09","2020-03-18",2020-03-09
48413,"NA","2020-03-09",2020-03-09
48415,"NA","2020-03-09",2020-03-09
48417,"NA","2020-03-09",2020-03-09
48419,"2020-03-09","2020-03-16",2020-03-09
48421,"NA","2020-03-16",2020-03-16
48423,"NA","2020-03-09",2020-03-09
48425,"NA","2020-03-09",2020-03-09
48427,"NA","2020-03-16",2020-03-16
48429,"NA","2020-03-09",2020-03-09
48431,"NA","2020-03-09",2020-03-09
48433,"NA","2020-03-19",2020-03-19
48435,"NA","2020-03-09",2020-03-09
48437,"NA","2020-03-16",2020-03-16
48439,"NA","2020-03-09",2020-03-09
48441,"NA","2020-03-09",2020-03-09
48443,"NA","2020-03-16",2020-03-16
48445,"NA","2020-03-16",2020-03-16
48447,"NA","2020-03-09",2020-03-09
48449,"NA","2020-03-16",2020-03-16
48451,"NA","2020-03-09",2020-03-09
48453,"2020-03-13","2020-03-16",2020-03-13
48455,"2020-03-09","2020-03-16",2020-03-09
48457,"2020-03-16","2020-03-17",2020-03-16
48459,"NA","2020-03-09",2020-03-09
48461,"NA","2020-03-09",2020-03-09
48463,"NA","2020-03-09",2020-03-09
48465,"NA","2020-03-09",2020-03-09
48467,"NA","2020-03-09",2020-03-09
48469,"NA","2020-03-16",2020-03-16
48471,"NA","2020-03-09",2020-03-09
48473,"NA","2020-03-09",2020-03-09
48475,"2020-03-09","2020-03-16",2020-03-09
48477,"2020-03-09","2020-03-16",2020-03-09
48479,"NA","2020-03-16",2020-03-16
48481,"NA","2020-03-09",2020-03-09
48483,"NA","2020-03-16",2020-03-16
48485,"NA","2020-03-16",2020-03-16
48487,"NA","2020-03-16",2020-03-16
48489,"NA","2020-03-16",2020-03-16
48491,"2020-03-09","2020-03-16",2020-03-09
48493,"2020-03-09","2020-03-16",2020-03-09
48495,"2020-03-09","2020-03-16",2020-03-09
48497,"NA","2020-03-16",2020-03-16
48499,"2020-03-09","2020-03-16",2020-03-09
48501,"2020-03-09","2020-03-16",2020-03-09
48503,"2020-03-09","2020-03-17",2020-03-09
48505,"NA","2020-03-16",2020-03-16
48507,"NA","2020-03-16",2020-03-16
36001,"NA","2020-03-16",2020-03-16
